個  股  總  覽 -- 2897 臺工銀,,,,,,,
,,,,,,,
,外匯活存,外匯定存,外匯存款合計,外匯存款月變動率,外匯存款,外匯存款--全體,外匯存款去年同期
Mar-08,603,"10,467","11,070",31.82,-13.45,0.33,"12,790"
Feb-08,898,"7,499","8,398",-26.83,-1.4,0.24,"8,517"
Jan-08,919,"10,559","11,478",-22.37,9.31,0.33,"10,500"
Dec-07,960,"13,825","14,785",11.33,77.63,0.43,"8,323"
Nov-07,755,"12,524","13,279",-32.4,-1.01,0.39,"13,415"
Oct-07,721,"18,923","19,644",31.96,132.58,0.59,"8,446"
Sep-07,646,"14,240","14,887",44.5,141.34,0.45,"6,168"
Aug-07,532,"9,771","10,302",4.59,12.06,0.31,"9,194"
Jul-07,537,"9,314","9,850",-1.81,-12.49,0.31,"11,256"
Jun-07,419,"9,612","10,032",-11.23,-11.56,0.31,"11,342"
May-07,496,"10,805","11,301",-12.74,102.48,0.35,"5,581"
Apr-07,726,"12,226","12,951",1.26,118.69,0.42,"5,922"
Mar-07,653,"12,137","12,790",50.18,39.88,0.43,"9,144"
Feb-07,496,"8,021","8,517",-18.89,3.14,0.29,"8,258"
Jan-07,796,"9,704","10,500",26.16,-3.39,0.36,"10,869"
Dec-06,899,"7,424","8,323",-37.96,-23.62,0.29,"10,897"
Nov-06,706,"12,709","13,415",58.82,41.31,0.47,"9,493"
Oct-06,487,"7,959","8,446",36.93,6.52,0.31,"7,929"
Sep-06,528,"5,640","6,168",-32.91,-28.45,0.23,"8,621"
Aug-06,565,"8,629","9,194",-18.32,29.32,0.34,"7,109"
Jul-06,748,"10,508","11,256",-0.76,71.17,0.42,"6,576"
Jun-06,"1,045","10,297","11,342",103.22,-20.02,0.42,"14,182"
May-06,377,"5,204","5,581",-5.76,-14.98,0.21,"6,565"
Apr-06,633,"5,289","5,922",-35.23,31.35,0.22,"4,509"
Mar-06,665,"8,480","9,144",10.73,17.21,0.36,"7,802"
Feb-06,430,"7,828","8,258",-24.02,1.77,0.33,"8,114"
Jan-06,332,"10,537","10,869",-0.26,-28,0.47,"15,096"
Dec-05,565,"10,332","10,897",14.79,-32.29,0.44,"16,093"
Nov-05,"1,137","8,356","9,493",19.73,-0.37,0.39,"9,529"
Oct-05,"1,283","6,646","7,929",-8.03,111.89,0.34,"3,742"
Sep-05,951,"7,671","8,621",21.26,-44.8,0.38,"15,617"
Aug-05,743,"6,366","7,109",8.11,-38.38,0.32,"11,537"
Jul-05,710,"5,866","6,576",-53.63,-34.49,0.3,"10,039"
Jun-05,"1,919","12,263","14,182",116.03,10.41,0.66,"12,845"
May-05,924,"5,640","6,565",45.6,116.03,0.32,"3,039"
Apr-05,"1,345","3,164","4,509",-42.21,-59.64,0.22,"11,171"
Mar-05,578,"7,224","7,802",-3.85,-13.36,0.38,"9,005"
Feb-05,363,"7,751","8,114",-46.25,1.25,0.4,"8,014"
Jan-05,"1,164","13,931","15,096",-6.2,219.9,0.72,"4,719"
Dec-04,"1,193","14,900","16,093",68.89,536.09,0.76,"2,530"
Nov-04,474,"9,054","9,529",154.65,371.03,0.46,"2,023"
Oct-04,"1,039","2,703","3,742",-76.04,168.63,0.18,"1,393"
Sep-04,"1,330","14,287","15,617",35.37,"1,051.70",0.75,"1,356"
Aug-04,"1,105","10,432","11,537",14.92,933.78,0.57,"1,116"
Jul-04,"1,393","8,646","10,039",-21.85,771.44,0.51,"1,152"
Jun-04,"1,341","11,505","12,845",322.67,"1,180.66",0.65,"1,003"
May-04,911,"2,128","3,039",-72.8,175.02,0.16,"1,105"
Apr-04,882,"10,288","11,171",24.05,279.32,0.58,"2,945"
Mar-04,877,"8,128","9,005",12.37,"1,811.89",0.47,471
Feb-04,207,"7,806","8,014",69.83,"1,913.57",0.43,398
Jan-04,543,"4,175","4,719",86.52,"1,200.00",0.25,363
